,Animal,GENDER,Genotype (I.D.),PCA,Pain Score,Paw Height (mm),Paw Velocity (mm/s),Stimulus,TIME,TiME,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Zscore Height,Zscore Pain,Zscore Velocity,file,pca1,Paw Velocity (mm/s)_scaled,Paw Height (mm)_scaled,Pain Score_scaled,used for training,p_pain
31,2.0,,CD1,,4.0,7.98,1894.42,heavy pinprick,,,,,,,,,,,,,,,,CD1 female.csv,1.3244756734978669,0.7506899021618879,-0.48031760009679303,1.9965521461862559,,0.8012795128616561
32,3.0,,CD1,,2.0,20.66,2618.17,heavy pinprick,,,,,,,,,,,,,,,,CD1 female.csv,2.1869946795670883,1.794283117865932,1.5281646865543173,0.48804608017886253,,0.7993775034450065
33,4.0,,CD1,,3.0,24.54,1747.73,heavy pinprick,,,,,,,,,,,,,,,,CD1 female.csv,2.268835516144455,0.5391739245292437,2.142747594457023,1.2422991131825591,,0.8018157783585171
34,5.0,,CD1,,1.0,15.21,1163.06,heavy pinprick,,,,,,,,,,,,,,,,CD1 female.csv,0.05279583640589305,-0.3038763627601289,0.6648974576703622,-0.2662069528248342,,0.6391120158135403
35,6.0,,CD1,,2.0,26.46,3066.74,heavy pinprick,,,,,,,,,,,,,,,,CD1 female.csv,3.083454093219021,2.441087413228091,2.446871095274857,0.48804608017886253,,0.7923418714035008
36,7.0,,CD1,,2.0,9.56,2727.03,heavy pinprick,,,,,,,,,,,,,,,,CD1 female.csv,1.2655821577753388,1.9512510729077865,-0.230049302548784,0.48804608017886253,,0.802394345318283
37,8.0,,CD1,,4.0,21.51,1262.28,heavy pinprick,,,,,,,,,,,,,,,,CD1 female.csv,2.03753122506782,-0.16080856467770366,1.6628026947288794,1.9965521461862559,,0.7957184517094988
38,9.0,,CD1,,1.0,15.81,809.48,heavy pinprick,,,,,,,,,,,,,,,,CD1 female.csv,-0.18287321454140115,-0.8137122027720609,0.7599360516759353,-0.2662069528248342,,0.5121184664457631
39,10.0,,CD1,,3.0,17.91,2005.71,heavy pinprick,,,,,,,,,,,,,,,,CD1 female.csv,1.876906427896051,0.9111617349435156,1.0925711306954409,1.2422991131825591,,0.7937184356189717
0,1.0,,C57,,0.0,3.95,50.6,cotton swab,,,,,,,,,,,,,,,,C57 male.csv,-2.3291427759587706,-1.9079602435782579,-1.118660156500892,-1.0204599858285308,,0.1852679829453382
1,2.0,,C57,,0.0,4.96,165.3,cotton swab,,,,,,,,,,,,,,,,C57 male.csv,-2.142995516755466,-1.7425714465609812,-0.9586785232581775,-1.0204599858285308,,0.1595986012709398
2,3.0,,C57,,0.0,9.55,380.55,cotton swab,,,,,,,,,,,,,,,,C57 male.csv,-1.548288643047995,-1.4321970912168769,-0.23163327911554352,-1.0204599858285308,,0.1298208044690358
3,4.0,,C57,,0.0,7.38,580.0,cotton swab,,,,,,,,,,,,,,,,C57 male.csv,-1.582135713917864,-1.1446051508062771,-0.5753561941023662,-1.0204599858285308,,0.12991026548576742
4,5.0,,C57,,0.0,5.43,258.67,cotton swab,,,,,,,,,,,,,,,,C57 male.csv,-2.0235348893917475,-1.6079389097039358,-0.8842316246204787,-1.0204599858285308,,0.1480987772198762
