Genotype (I.D.),Animal,Stimulus,Paw Velocity (mm/s),Paw Height (mm),Pain Score,TIME
C57 uninjured,"Cage1, Animal 1",1.4 VFH,863.58,4.84,1,Week 4
C57 uninjured,"Cage1, Animal 2",1.4 VFH,660.44,4.86,1,Week 4
C57 uninjured,"Cage1, Animal 4",1.4 VFH,477.26,5.29,0,Week 4
C57 uninjured,"Cage2, Animal 0",1.4 VFH,259.7,4.12,2,Week 4
C57 uninjured,"Cage2, Animal 1",1.4 VFH,839.43,7.45,1,Week 4
C57 uninjured,"Cage2, Animal 3",1.4 VFH,449.46,7.9,0,Week 4
C57 uninjured,"Cage3, Animal 0",1.4 VFH,1369.55,12.25,1,Week 4
C57 uninjured,"Cage3, Animal 2",1.4 VFH,1082.73,10.41,1,Week 4
C57 uninjured,"Cage3, Animal 3",1.4 VFH,411.7,8.26,1,Week 4
C57 uninjured,"Cage3, Animal 4",1.4 VFH,1046.51,6.9,3,Week 4
