,Genotype (I.D.),Animal,Stimulus,Paw Velocity (mm/s),Paw Height (mm),Pain Score,TIME,file,pca1,Paw Velocity (mm/s)_scaled,Paw Height (mm)_scaled,Pain Score_scaled,used for training,p_pain
24,C57_injured,"Cage3, Animal 0",1.4 vfh,1235.6,7.37,2.0,Baseline,CCI injured paw.csv,0.12090119183188662,0.17184486135584762,-0.7809326432609313,0.8228418776346288,,0.8051109312724168
25,C57_injured,"Cage3, Animal 3",1.4 vfh,481.95,3.88,0.0,Baseline,CCI injured paw.csv,-1.714612155189515,-0.7813100722662383,-1.1671111661062235,-1.0231298052248863,,0.0720051874048817
26,C57_injured,"Cage3, Animal 4",1.4 vfh,696.13,6.95,1.0,Baseline,CCI injured paw.csv,-0.8318084007389323,-0.5104327105158524,-0.8274068494486168,-0.10014396379512873,,0.11975664157745243
27,C57_injured,"Cage1, Animal 1",0.07 vfh,918.98,2.65,2.0,Week 1,CCI injured paw.csv,-0.41339789445382785,-0.22859024125600777,-1.303214198513017,0.8228418776346288,,0.31396143702093693
28,C57_injured,"Cage1, Animal 2",0.07 vfh,498.57,3.98,0.0,Week 1,CCI injured paw.csv,-1.6960042404512115,-0.7602904544107365,-1.1560458789186792,-1.0231298052248863,,0.07173290171129997
29,C57_injured,"Cage1, Animal 4",0.07 vfh,1279.24,5.97,2.0,Week 1,CCI injured paw.csv,0.06356186423762665,0.22703716720507197,-0.9358466638865498,0.8228418776346288,,0.768203481494712
30,C57_injured,"Cage2, Animal 0",0.07 vfh,766.37,6.56,1.0,Week 1,CCI injured paw.csv,-0.8050743551612239,-0.42159889835156483,-0.8705614694800392,-0.10014396379512873,,0.12546332461696208
31,C57_injured,"Cage2, Animal 1",0.07 vfh,353.89,9.0,0.0,Week 1,CCI injured paw.csv,-1.481725116789599,-0.9432698955259005,-0.600568462103961,-1.0231298052248863,,0.07166283598366696
32,C57_injured,"Cage2, Animal 3",0.07 vfh,89.85,2.77,0.0,Week 1,CCI injured paw.csv,-2.073816552188908,-1.2772061108427923,-1.289935853887964,-1.0231298052248863,,0.09027612298003272
33,C57_injured,"Cage3, Animal 0",0.07 vfh,502.15,7.07,0.0,Week 1,CCI injured paw.csv,-1.4959942855829496,-0.7557627629593107,-0.8141285048235638,-1.0231298052248863,,0.0715090678084923
34,C57_injured,"Cage3, Animal 2",0.07 vfh,271.6333,11.7,2.0,Week 1,CCI injured paw.csv,-0.31129619947769277,-1.0473014478757603,-0.3018057080402679,0.8228418776346288,,0.4074000449358003
35,C57_injured,"Cage3, Animal 3",0.07 vfh,912.43,7.61,2.0,Week 1,CCI injured paw.csv,-0.10138766575329879,-0.23687414600652157,-0.7543759540108251,0.8228418776346288,,0.6281720123536442
36,C57_injured,"Cage3, Animal 4",0.07 vfh,859.8,8.13,1.0,Week 1,CCI injured paw.csv,-0.6360917736164058,-0.3034362692156112,-0.6968364606355953,-0.10014396379512873,,0.178216913001006
37,C57_injured,"Cage1, Animal 1",0.6 vfh,529.0889,7.3311,0.0,Week 1,CCI injured paw.csv,-1.4595086640940438,-0.7216926436183009,-0.7852370399768859,-1.0231298052248863,,0.07194507862152005
38,C57_injured,"Cage1, Animal 2",0.6 vfh,559.48,5.64,3.0,Week 1,CCI injured paw.csv,0.042482592973946576,-0.6832564638223714,-0.9723621116054458,1.7458277190643865,,0.7529505723624025
39,C57_injured,"Cage1, Animal 4",0.6 vfh,1904.5,7.69,2.0,Week 1,CCI injured paw.csv,0.6331677487465712,1.017814920534264,-0.7455237242607897,0.8228418776346288,,0.933089241340014
40,C57_injured,"Cage2, Animal 0",0.6 vfh,342.08,7.74,1.0,Week 1,CCI injured paw.csv,-1.041670635686139,-0.9582062184424757,-0.7399910806670177,-0.10014396379512873,,0.090457679806597
41,C57_injured,"Cage2, Animal 1",0.6 vfh,527.38,5.22,0.0,Week 1,CCI injured paw.csv,-1.5956143656769304,-0.7238539206913013,-1.0188363177931312,-1.0231298052248863,,0.07104254589234571
42,C57_injured,"Cage2, Animal 3",0.6 vfh,757.62,3.52,2.0,Week 1,CCI injured paw.csv,-0.4764696855032669,-0.43266518332362514,-1.2069461999813826,0.8228418776346288,,0.266102129582631
43,C57_injured,"Cage3, Animal 0",0.6 vfh,880.99,10.94,2.0,Week 1,CCI injured paw.csv,0.08820322596921275,-0.27663688880898735,-0.3859018906656037,0.8228418776346288,,0.7848780640262532
44,C57_injured,"Cage3, Animal 2",0.6 vfh,852.98,13.05,3.0,Week 1,CCI injured paw.csv,0.731609256530949,-0.31206164790240554,-0.15242433100842115,1.7458277190643865,,0.9369180241234726
45,C57_injured,"Cage3, Animal 4",0.6 vfh,943.8,13.94,2.0,Week 1,CCI injured paw.csv,0.3260147173331013,-0.1971999334838322,-0.053943275039278,0.8228418776346288,,0.8895446968504815
46,C57_injured,"Cage1, Animal 1",1.4 vfh,371.33,7.74,0.0,Week 1,CCI injured paw.csv,-1.5493859995001213,-0.9212132086787312,-0.7399910806670177,-1.0231298052248863,,0.0711251557813444
47,C57_injured,"Cage1, Animal 2",1.4 vfh,454.92,3.52,1.0,Week 1,CCI injured paw.csv,-1.228259934842741,-0.8154954074427857,-1.2069461999813826,-0.10014396379512873,,0.07834850529403102
48,C57_injured,"Cage1, Animal 4",1.4 vfh,1074.65,4.5,3.0,Week 1,CCI injured paw.csv,0.3484558118225107,-0.031711546215935825,-1.0985063855434494,1.7458277190643865,,0.8952332726022006
49,C57_injured,"Cage2, Animal 0",1.4 vfh,1854.57,9.24,1.0,Week 1,CCI injured paw.csv,0.16624144175818917,0.9546675366879814,-0.5740117728538549,-0.10014396379512873,,0.8297359530490844
50,C57_injured,"Cage2, Animal 1",1.4 vfh,593.31,16.95,2.0,Week 1,CCI injured paw.csv,0.2605753790006764,-0.64047104432468,0.2791218693058021,0.8228418776346288,,0.8695269132669383
51,C57_injured,"Cage2, Animal 3",1.4 vfh,80.48,4.49,3.0,Week 1,CCI injured paw.csv,-0.3831723436613666,-1.2890565211500158,-1.099612914262204,1.7458277190643865,,0.34243108470468486
52,C57_injured,"Cage3, Animal 0",1.4 vfh,860.25,14.7,3.0,Week 1,CCI injured paw.csv,0.8423505548194954,-0.3028671459884766,0.030152907586057816,1.7458277190643865,,0.9379919631439824
53,C57_injured,"Cage3, Animal 2",1.4 vfh,1733.94,10.25,3.0,Week 1,CCI injured paw.csv,1.2005044984470306,0.8021045702674519,-0.46225237225965854,1.7458277190643865,,0.9280263674969517
54,C57_injured,"Cage3, Animal 3",1.4 vfh,469.81,10.83,2.0,Week 1,CCI injured paw.csv,-0.22115397059747696,-0.7966637522160456,-0.3980737065719023,0.8228418776346288,,0.5
55,C57_injured,"Cage3, Animal 4",1.4 vfh,1052.89,12.08,2.0,Week 1,CCI injured paw.csv,0.28741612430094654,-0.05923181604359666,-0.2597576167275999,0.8228418776346288,,0.878398792271465
56,C57_injured,"Cage1, Animal 1",0.07 vfh,354.25,8.21,1.0,Week 2,CCI injured paw.csv,-1.0027004804019322,-0.9428145969441929,-0.6879842308855599,-0.10014396379512873,,0.09428189069013267
57,C57_injured,"Cage1, Animal 2",0.07 vfh,692.87,7.84,1.0,Week 2,CCI injured paw.csv,-0.7773555225864748,-0.5145556921168715,-0.7289257934794735,-0.10014396379512873,,0.13202089099100864
58,C57_injured,"Cage2, Animal 0",0.07 vfh,426.05,14.64,1.0,Week 2,CCI injured paw.csv,-0.5391832597745112,-0.8520078242591723,0.02351373527353144,-0.10014396379512873,,0.2261671485479954
59,C57_injured,"Cage2, Animal 3",0.07 vfh,994.95,9.45,0.0,Week 2,CCI injured paw.csv,-0.9816247303918588,-0.1325095933328738,-0.5507746697600121,-1.0231298052248863,,0.09660064685124459
60,C57_injured,"Cage3, Animal 0",0.07 vfh,604.4,9.22,2.0,Week 2,CCI injured paw.csv,-0.22503395742157148,-0.6264453185715201,-0.5762248302913636,0.8228418776346288,,0.5
61,C57_injured,"Cage3, Animal 2",0.07 vfh,662.1,8.47,2.0,Week 2,CCI injured paw.csv,-0.23051572984144128,-0.5534710736700481,-0.659214484197945,0.8228418776346288,,0.4903817849978708
62,C57_injured,"Cage3, Animal 3",0.07 vfh,517.6,6.72,1.0,Week 2,CCI injured paw.csv,-0.9777687758639282,-0.7362228654943583,-0.8528570099799685,-0.10014396379512873,,0.09704550353526867
63,C57_injured,"Cage3, Animal 4",0.07 vfh,1473.75,9.2,4.0,Week 2,CCI injured paw.csv,1.4713451298835687,0.47303752033826635,-0.5784378877288726,2.6688135604941436,,0.9177354620416202
64,C57_injured,"Cage1, Animal 1",0.6 vfh,416.53,9.27,2.0,Week 2,CCI injured paw.csv,-0.35997645597165767,-0.8640479423087739,-0.5706921866975917,0.8228418776346288,,0.36224975526077774
